Image,X,Y,Z,Zoom,Pitch,Yaw,Face Height,Body Height,Body Width,Shoulder Width
Image_0000.jpg,0,91.6548,1,94,0,90,48,390,127,84
Image_0001.jpg,0,91.6548,2,94,0,90,48,390,127,84
Image_0002.jpg,0,91.6548,3,94,0,90,48,390,127,84
Image_0003.jpg,0,91.6548,4,94,0,90,48,390,127,84
Image_0004.jpg,0,91.6548,5,94,0,90,48,390,127,84
Image_0005.jpg,0,91.6548,6,94,0,90,48,390,127,84
Image_0006.jpg,0,91.6548,7,94,0,90,50,390,127,87
Image_0007.jpg,0,91.6548,8,94,0,90,50,390,127,87
Image_0008.jpg,0,91.6548,9,94,0,90,50,390,127,87
Image_0009.jpg,0,91.6548,10,94,0,90,50,390,127,87
Image_0010.jpg,0,91.6548,11,94,0,90,50,390,127,87
Image_0011.jpg,0,91.6548,12,94,0,90,50,390,127,87
Image_0012.jpg,0,91.6548,13,94,0,90,51,398,130,88
Image_0013.jpg,0,91.6548,14,94,0,90,51,398,130,88
Image_0014.jpg,0,91.6548,15,94,0,90,51,398,130,88
Image_0015.jpg,0,91.6548,16,94,0,90,51,398,130,88
Image_0016.jpg,0,91.6548,17,94,0,90,51,398,130,88
Image_0017.jpg,0,91.6548,18,94,0,90,52,401,132,89
Image_0018.jpg,0,91.6548,19,94,0,90,52,401,132,89
Image_0019.jpg,0,91.6548,20,94,0,90,52,401,132,89
Image_0020.jpg,0,91.6548,21,94,0,90,52,401,132,89
Image_0021.jpg,0,91.6548,22,94,0,90,52,401,132,89
Image_0022.jpg,0,91.6548,23,94,0,90,53,408,133,91
Image_0023.jpg,0,91.6548,24,94,0,90,53,408,133,91
Image_0024.jpg,0,91.6548,25,94,0,90,53,408,133,91
Image_0025.jpg,0,91.6548,26,94,0,90,53,408,133,91
Image_0026.jpg,0,91.6548,27,94,0,90,53,408,133,91
Image_0027.jpg,0,91.6548,28,94,0,90,52,417,135,89
Image_0028.jpg,0,91.6548,29,94,0,90,52,417,135,89
Image_0029.jpg,0,91.6548,30,94,0,90,52,417,135,89
Image_0030.jpg,0,91.6548,31,94,0,90,52,417,135,89
Image_0031.jpg,0,91.6548,32,94,0,90,52,425,137,89
Image_0032.jpg,0,91.6548,33,94,0,90,52,425,137,89
Image_0033.jpg,0,91.6548,34,94,0,90,52,425,137,89
Image_0034.jpg,0,91.6548,35,94,0,90,52,425,137,89
Image_0035.jpg,0,91.6548,36,94,0,90,52,434,139,90
Image_0036.jpg,0,91.6548,37,94,3,90,52,434,139,90
Image_0037.jpg,0,91.6548,38,94,3,90,52,434,139,90
Image_0038.jpg,0,91.6548,39,94,3,90,52,434,139,90
Image_0039.jpg,0,91.6548,40,94,3,90,52,437,142,90
Image_0040.jpg,0,91.6548,41,94,3,90,52,437,142,90
Image_0041.jpg,0,91.6548,42,94,3,90,52,437,142,90
Image_0042.jpg,0,91.6548,43,94,3,90,52,437,142,90
Image_0043.jpg,0,91.6548,44,94,3,90,52,437,142,90
Image_0044.jpg,0,91.6548,45,94,-2.1,90,55,442,142,94
Image_0045.jpg,0,91.6548,46,94,-2.1,90,55,442,142,94
Image_0046.jpg,0,91.6548,47,94,-2.1,90,55,442,142,94
Image_0047.jpg,0,91.6548,48,94,-2.1,90,55,442,142,94
Image_0048.jpg,0,91.6548,49,94,-2.1,90,55,442,142,94
Image_0049.jpg,0,91.6548,50,94,-2.1,90,56,451,145,94
Image_0050.jpg,0,91.6548,51,94,-2.1,90,56,451,145,94
Image_0051.jpg,0,97.6549,52,94,-2.1,90,56,451,145,94
Image_0052.jpg,0,97.6549,53,94,-2.1,90,56,451,145,94
Image_0053.jpg,0,97.6549,54,94,-2.1,90,56,459,148,95
Image_0054.jpg,0,97.6549,55,94,-2.1,90,56,459,148,95
Image_0055.jpg,0,97.6549,56,94,-2.1,90,56,459,148,95
Image_0056.jpg,0,97.6549,57,94,-2.1,90,56,459,148,95
Image_0057.jpg,0,97.6549,58,94,-2.1,90,56,459,148,95
