Image,X,Y,Z,Zoom,Pitch,Yaw,FH/BH+FH,SWLS,SW/BH,SW/IW,SW,FH/BH,FH/SW
Image_0064.jpg,10.8,91.6548,151.3,94,0,90,0.115741,-4.23894,0.230366,0.06875,NOT YET,0.13089,0.568182
Image_0065.jpg,11.1,91.6548,151.3,94,0,90,0.113426,-3.13577,0.227154,0.0679687,NOT YET,0.127937,0.563218
Image_0066.jpg,11.4,91.6548,151.3,94,0,90,0.113689,-3.73618,0.230366,0.06875,NOT YET,0.128272,0.556818
Image_0069.jpg,12.3,91.6548,151.3,94,0,90,0.115741,-3.87155,0.232984,0.0695312,NOT YET,0.13089,0.561798
Image_0070.jpg,12.6,91.6548,151.3,94,0,90,0.111369,-3.8411,0.227154,0.0679687,NOT YET,0.125326,0.551724
Image_0071.jpg,12.9,91.6548,151.3,94,0,90,0.115741,-3.6364,0.232984,0.0695312,NOT YET,0.13089,0.561798
Image_0072.jpg,13.2,91.6548,151.3,94,0,90,0.115741,-3.46458,0.232984,0.0695312,NOT YET,0.13089,0.561798
Image_0073.jpg,13.5,91.6548,151.3,94,0,90,0.115741,-4.10427,0.230366,0.06875,NOT YET,0.13089,0.568182
Image_0075.jpg,14.1,91.6548,151.3,94,0,90,0.111369,-3.58728,0.227154,0.0679687,NOT YET,0.125326,0.551724
Image_0076.jpg,14.4,91.6548,151.3,94,0,90,0.113426,-3.94708,0.227154,0.0679687,NOT YET,0.127937,0.563218
Image_0077.jpg,14.7,91.6548,151.3,94,0,90,0.115741,-3.57111,0.232984,0.0695312,NOT YET,0.13089,0.561798
Image_0079.jpg,15.3,91.6548,151.3,94,0,90,0.113426,-4.02722,0.229765,0.06875,NOT YET,0.127937,0.556818
Image_0080.jpg,15.6,91.6548,151.3,94,0,90,0.115741,-3.63775,0.232984,0.0695312,NOT YET,0.13089,0.561798
Image_0082.jpg,16.2,91.6548,151.3,94,0,90,0.115741,-4.16345,0.232984,0.0695312,NOT YET,0.13089,0.561798
Image_0083.jpg,16.5,91.6548,151.3,94,0,90,0.115741,-3.62326,0.235602,0.0703125,NOT YET,0.13089,0.555556
Image_0084.jpg,16.8,91.6548,151.3,94,0,90,0.115741,-3.59476,0.232984,0.0695312,NOT YET,0.13089,0.561798
Image_0085.jpg,17.1,91.6548,151.3,94,0,90,0.115741,-4.02528,0.232984,0.0695312,NOT YET,0.13089,0.561798
Image_0086.jpg,17.4,91.6548,151.3,94,0,90,0.113689,-3.66427,0.232984,0.0695312,NOT YET,0.128272,0.550562
Image_0088.jpg,18,91.6548,151.3,94,0,90,0.115741,-3.98936,0.235602,0.0703125,NOT YET,0.13089,0.555556
Image_0089.jpg,18.3,91.6548,151.3,94,0,90,0.115741,-3.74212,0.235602,0.0703125,NOT YET,0.13089,0.555556
Image_0090.jpg,18.6,91.6548,151.3,94,0,90,0.111369,-3.39108,0.229765,0.06875,NOT YET,0.125326,0.545455
